url_id,customer_id,site_id,application,url,active
2854,I-302805,14043,edovo,https://corrections2.edovo.com,1
2855,I-302805,14045,edovo,https://corrections2.edovo.com,1
2856,I-302805,14046,edovo,https://corrections2.edovo.com,1
2857,I-302805,14047,edovo,https://corrections2.edovo.com,1
2858,I-302805,14048,edovo,https://corrections2.edovo.com,1
2859,I-302805,14049,edovo,https://corrections2.edovo.com,1
2860,I-302805,14052,edovo,https://corrections2.edovo.com,1
2861,I-302805,14054,edovo,https://corrections2.edovo.com,1
2862,I-302805,14057,edovo,https://corrections2.edovo.com,1
2863,I-302805,14072,edovo,https://corrections2.edovo.com,1
2865,I-001916,03675,hopemedia,https://app.andrenorman.com,1
2866,I-303152,50009,fastcase,https://jails.fastcase.com/Jails/Login/SignIn.aspx?IPKey=0x%2bgtu%2fZWlQ3jvCoR3Pf%2bLtmCslzIW0SQZYUNjNtppGJ4V9FkcjH5BBM9Zguum83ERiQ6gVy6tN%2fH4IsfB90RlTYKLsJ%2fWdORJITuEGkh%2blgsuIuYWbAiSEf5t%2bFZFoR&LogoutURL=http%3a%2f%2fwww.utahcounty.gov%2f,1
2867,I-390180,07854,fastcase,https://jails.fastcase.com/Jails/Login/SignIn.aspx?IPKey=KenGcnUD3huYfUtl25zR3G7BxB8UhP%2fTfDMWjkrhtmjsWS260pqxx1kCykOm7s1BzTpHR6k4XTfSZSrBlrX6bukj0goY8z4ycef8wFc0i9um5sdpfVcnzB3l0cE1goMA&LogoutURL=https%3a%2f%2fwww.andersonpd.com%2f,1
2868,I-300087,05084,keefe,https://singlesignon-dev.keefegp.com/sso/tx32182j-securustablet,1
2869,I-390397,08146,aramark,https://scorewa.tsionline.net/WebKiosk/,1
2870,I-390397,08146,fastcase,https://jails.fastcase.com/Jails/Login/SignIn.aspx?IPKey=yLewOJgTP3kKwqARBqkWtgjahBGOYxjiYrlaf1YEEO%2fuUY3413YMAkqUge%2fWE1pAZZ6CGE6LYTcrggX7jmgVpfroteOCbIk6HWPg2%2bvmFaOtuqz0Dzo%2bQ7CKLufgXt6H&LogoutURL=https%3a%2f%2fwww.scorejail.org%2f,1
2871,I-002748,05650,edovo,https://corrections2.edovo.com,1
2872,I-002754,05676,edovo,https://corrections2.edovo.com,1
2873,I-002927,15162,edovo,https://corrections2.edovo.com,1
2874,I-003082,15143,edovo,https://corrections2.edovo.com,1
2875,I-300525,01218,edovo,https://corrections2.edovo.com,1
2876,I-390045,06744,edovo,https://corrections2.edovo.com,1
2877,I-390045,06972,edovo,https://corrections2.edovo.com,1
2878,I-000973,08835,edovo,https://corrections2.edovo.com,1
2879,I-002491,04983,edovo,https://corrections2.edovo.com,1
2880,I-002499,05152,edovo,https://corrections2.edovo.com,1
2881,I-302597,16011,edovo,https://corrections2.edovo.com,1
2882,I-302597,16012,edovo,https://corrections2.edovo.com,1
2883,I-302666,16014,edovo,https://corrections2.edovo.com,1
2885,I-002570,07674,edovo,https://corrections2.edovo.com,1
2886,I-002591,05331,edovo,https://corrections2.edovo.com,1
2887,I-003259,80112,edovo,https://corrections2.edovo.com,1
2888,I-003274,07032,edovo,https://corrections2.edovo.com,1
2889,I-300580,00997,edovo,https://corrections2.edovo.com,1
2890,I-300635,04741,edovo,https://corrections2.edovo.com,1
2891,I-302588,06140,edovo,https://corrections2.edovo.com,1
2892,I-302588,06417,edovo,https://corrections2.edovo.com,1
2893,I-390037,09163,edovo,https://corrections2.edovo.com,1
2894,I-390155,07468,edovo,https://corrections2.edovo.com,1
